Name;Synonyme;Kategorie;Bezugseinheit;Energie, Kalorien (kcal)
Baumnussbrot;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;332
Baumnussöl;;Fette und Öle/Öle;pro 100 ml;810
Béchamelsauce, hausgemacht;;Verschiedenes/Saucen;pro 100g essbarer Anteil;147
Beeren (Durchschnitt), gekocht (ohne Zugabe von Zucker);;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;35
Beeren (Durchschnitt), roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;40
Berliner;Pfannkuchen;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;336
Berner Alpkäse;;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;453
Berner Hobelkäse;;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;491
Berner Zungenwurst;;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;333
Biber;;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;355
Bier Panache (Durchschnitt);;Alkoholhaltige Getränke/Bier;pro 100 ml;39
Bier, alkoholfrei;;Alkoholhaltige Getränke/Bier;pro 100 ml;23
Bier, Lager;;Alkoholhaltige Getränke/Bier;pro 100 ml;42
Bierhefe, getrocknet;"Bäckerhefe;Trockenhefe;Hefepulver";"Speziallebensmittel/Supplemente;Verschiedenes/Hefe";pro 100g essbarer Anteil;354
Bierwurst;;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;291
Birchermüesli, zubereitet (ungezuckert);;Gerichte/Müesli und Brei;pro 100g essbarer Anteil;86
Birne, gedünstet, abgetropft (ohne Zugabe von Zucker);;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;57
Birne, getrocknet;"Dörrbirne;Trockenbirne";Früchte/Früchte getrocknet;pro 100g essbarer Anteil;288
Birne, in Sirup, Konserve, abgetropft;;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;71
Birne, mit Süssungsmittel, Konserve, abgetropft;;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;50
