Name;Synonyme;Kategorie;Bezugseinheit;Energie, Kalorien (kcal)
Flammenkuchenteig, ungebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;221
Fleisch (Durchschnitt exkl. Innereien), roh ;;"Fleisch und Innereien/Kalb;Fleisch und Innereien/Geflügel;Fleisch und Innereien/Lamm, Schaf;Fleisch und Innereien/Rind;Fleisch und Innereien/Schwein;Fleisch und Innereien/Wild";pro 100g essbarer Anteil;146
Fleischkäse;;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;256
Fleischlasagne, zubereitet;;Gerichte/Italienische Gerichte;pro 100g essbarer Anteil;141
Flunder, Filet, gedämpft (ohne Zusatz von Fett und Salz);;Fisch/Meeresfische;pro 100g essbarer Anteil;69
Flunder, roh;;Fisch/Meeresfische;pro 100g essbarer Anteil;72
Fondue alkoholfrei, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;283
Fondue klassisch, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;315
Fondue moitié-moitié, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;291
Forelle, ganz, gekocht (ohne Zusatz von Fett und Salz);;Fisch/Süsswasserfische;pro 100g essbarer Anteil;116
Forelle, roh;Bachforelle;Fisch/Süsswasserfische;pro 100g essbarer Anteil;127
Fotzelschnitte ungezuckert;;Gerichte/Sonstige süsse Gerichte;pro 100g essbarer Anteil;222
Freiburger Vacherin;;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;370
Frischkäse, Doppelrahm;;Milch und Milchprodukte/Frischkäse und Quark;pro 100g essbarer Anteil;351
Fruchtcocktail, in Sirup, Konserve, abgetropft;;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;77
Fruchtcocktail, mit Süssungsmittel, Konserve, abgetropft;;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;47
Früchte (Durchschnitt), gekocht (ohne Zugabe von Zucker);;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;50
Früchte (Durchschnitt), getrocknet;"Dörrfrüchte (Durchschnitt);Früchte, gedörrt (Durchschnitt)";Früchte/Früchte getrocknet;pro 100g essbarer Anteil;278
Früchte (Durchschnitt), roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;54
Fruchtsaft-Schorle (Durchschnitt, 60% Saft - 40% Wasser), ungezuckert;;Alkoholfreie Getränke/Frucht- und Gemüsesäfte;pro 100 ml;31
Fruchtsaft (Durchschnitt), ungezuckert;;"Früchte/Fruchtsäfte;Alkoholfreie Getränke/Frucht- und Gemüsesäfte";pro 100 ml;52
Fruchtwähe/-kuchen (Durchschnitt);;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;166
Fruchtwähe/-kuchen mit Blätterteig (Durchschnitt);;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;141
Fruchtwähe/-kuchen mit Kuchenteig (Durchschnitt);;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;143
Fruchtwähe/-kuchen mit süssem Mürbeteig (Durchschnitt);;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;215
Frühlingsrolle, frittiert;;Gerichte/Asiatische Gerichte;pro 100g essbarer Anteil;224
Fünfkornbier;;Alkoholhaltige Getränke/Bier;pro 100 ml;40
Garnele, gekocht;"Shrimp;Scampi;Crevette";Fisch/Meeresfrüchte, Krusten- und Schalentiere;pro 100g essbarer Anteil;46
Garnele, roh;"Shrimp;Scampi;Crevette";Fisch/Meeresfrüchte, Krusten- und Schalentiere;pro 100g essbarer Anteil;56
Geflügelfleisch (Durchschnitt exkl. Innereien), roh;;Fleisch und Innereien/Geflügel;pro 100g essbarer Anteil;134
Geflügelfleisch mit Haut (Durchschnitt), roh;;Fleisch und Innereien/Geflügel;pro 100g essbarer Anteil;161
Geflügelfleisch ohne Haut (Durchschnitt exkl. Innereien), roh;;Fleisch und Innereien/Geflügel;pro 100g essbarer Anteil;114
Geflügellyoner;;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;205
Gehacktes (Durchschnitt aus Rind, Kalb, Schwein, Poulet), gebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien;pro 100g essbarer Anteil;164
Gehacktes (Durchschnitt aus Rind, Kalb, Schwein, Poulet), roh;;"Fleisch und Innereien/Kalb;Fleisch und Innereien/Rind;Fleisch und Innereien/Schwein;Fleisch und Innereien/Geflügel";pro 100g essbarer Anteil;143
Gemüse (Durchschnitt), roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;28
Gemüsegratin, gebacken;;Gerichte/Kuchen und Gratins;pro 100g essbarer Anteil;58
Gemüselasagne, zubereitet;;Gerichte/Italienische Gerichte;pro 100g essbarer Anteil;133
Gerstenflocken;;Brote, Flocken und Frühstückscerealien/Flocken, Kleie und Keime;pro 100g essbarer Anteil;333
Gerstotto, gekocht;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte;pro 100g essbarer Anteil;135
Geschnetzeltes (Durchschnitt aus Rind, Kalb, Schwein, Geflügel), gebraten (ohne Zusatz von Fett und Salz);;Fleisch und Innereien;pro 100g essbarer Anteil;150
Geschnetzeltes (Durchschnitt aus Rind, Kalb, Schwein, Geflügel), roh;;"Fleisch und Innereien/Kalb;Fleisch und Innereien/Schwein;Fleisch und Innereien/Rind;Fleisch und Innereien/Geflügel";pro 100g essbarer Anteil;118
Getreideflocken (Durchschnitt);;Brote, Flocken und Frühstückscerealien/Flocken, Kleie und Keime;pro 100g essbarer Anteil;348
Getreideriegel mit Schokoladeüberzug;;Süssigkeiten/Riegel;pro 100g essbarer Anteil;459
Getreideriegel, ohne Ueberzug und Füllung;;Süssigkeiten/Riegel;pro 100g essbarer Anteil;416
Gipfeli (Durchschnitt);;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;400
Glarner Schabziger;Glarner Kräuterkäse;Milch und Milchprodukte/Frischkäse und Quark;pro 100g essbarer Anteil;132
Gorgonzola;;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;357
Granatapfel, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;81
Grapefruit (weiss oder rot), roh;Pampelmuse;Früchte/Früchte frisch;pro 100g essbarer Anteil;42
Greyerzer, vollfett;Gruyère;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;396
Griessbrei, zubereitet (mit teilentrahmter Milch, ohne Zugabe von Zucker);;"Süssigkeiten/Cremen und Pudding;Gerichte/Müesli und Brei";pro 100g essbarer Anteil;93
Griessbrei, zubereitet (mit Vollmilch, ohne Zugabe von Zucker);;"Süssigkeiten/Cremen und Pudding;Gerichte/Müesli und Brei";pro 100g essbarer Anteil;93
Griessschnitte, zubereitet (mit teilentrahmter Milch);;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;143
Griessschnitte, zubereitet (mit Vollmilch);;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;152
Grittibänz;;Süssigkeiten/Sonstige süsse Backwaren;pro 100g essbarer Anteil;329
Gugelhopf Grossmutter Art;;Süssigkeiten/Kuchen, Torten und Cake;pro 100g essbarer Anteil;462
Gulaschsuppe;;Gerichte/Eintöpfe und Suppen;pro 100g essbarer Anteil;67
Gummibonbon mit Fruchtessenz;;Süssigkeiten/Bonbons, Frucht- und Kaugummi;pro 100g essbarer Anteil;341
Gurke, in Essig eingelegt;"Essiggurke;Cornichon";Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;14
Gurke, roh;Salatgurke;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;14
Hackbraten, im Ofen gebacken;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;166
Hackplätzli (Rind), gebraten in Rapsöl HOLL;;Fleisch und Innereien/Rind;pro 100g essbarer Anteil;187
Haferbrei, zubereitet (mit teilentrahmter Milch, ohne Zugabe von Zucker);;"Süssigkeiten/Cremen und Pudding;Gerichte/Müesli und Brei";pro 100g essbarer Anteil;133
Haferbrei, zubereitet (mit Vollmilch, ohne Zugabe von Zucker);;"Süssigkeiten/Cremen und Pudding;Gerichte/Müesli und Brei";pro 100g essbarer Anteil;147
Haferflocken;;Brote, Flocken und Frühstückscerealien/Flocken, Kleie und Keime;pro 100g essbarer Anteil;381
Hafergetränk, nature;;Milch und Milchprodukte/Milchersatzprodukte;pro 100 ml;47
Hafergetränk, nature, mit Calcium und Vitaminen angereichert;;Milch und Milchprodukte/Milchersatzprodukte;pro 100 ml;48
Haferkleie;;Brote, Flocken und Frühstückscerealien/Flocken, Kleie und Keime;pro 100g essbarer Anteil;371
Halbentrahmte Milch 1.5% Fett, UHT;;Milch und Milchprodukte/Milch;pro 100 ml;46
Halbfettbutter;;"Fette und Öle/Fette;Milch und Milchprodukte/Rahm und Butter";pro 100g essbarer Anteil;391
Halbrahm, pasteurisiert;;"Fette und Öle/Rahm;Milch und Milchprodukte/Rahm und Butter";pro 100g essbarer Anteil;274
Halbrahm, UHT;;"Fette und Öle/Rahm;Milch und Milchprodukte/Rahm und Butter";pro 100g essbarer Anteil;251
Halbweissbrot;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;240
Halbweissbrot (mit jodiertem Kochsalz);;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren;pro 100g essbarer Anteil;240
Hamburger, doppelt;;Gerichte/Fast Food;pro 100g essbarer Anteil;258
Hanföl;;Fette und Öle/Öle;pro 100 ml;810
Hart- und Halbhartkäse, vollfett (Durchschnitt);;Milch und Milchprodukte/Hartkäse;pro 100g essbarer Anteil;397
Hartkaramellen, Hartbonbons;;Süssigkeiten/Bonbons, Frucht- und Kaugummi;pro 100g essbarer Anteil;385
Hartweizengriess, trocken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte;pro 100g essbarer Anteil;353
Hase (Durchschnitt), roh;;Fleisch und Innereien/Sonstige Tierarten;pro 100g essbarer Anteil;115
Haselnuss;;Nüsse, Samen und Ölfrüchte;pro 100g essbarer Anteil;661
Haselnuss-Schokolade-Brotaufstrich;;Süssigkeiten/Konfitüren und süsse Brotaufstriche;pro 100g essbarer Anteil;551
Haselnusskekse;Haselnussguetzli;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;473
Haselnussmakrone;;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;544
Haselnussöl;;Fette und Öle/Öle;pro 100 ml;810
Haselnussstängeli;;Süssigkeiten/Guetzli;pro 100g essbarer Anteil;567
Hecht, roh;;Fisch/Süsswasserfische;pro 100g essbarer Anteil;81
Hefeteig (mit Butter), süss, ungebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;311
Hefeteig (mit pflanzlichem Fett), süss, ungebacken;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige;pro 100g essbarer Anteil;300
Heidelbeere, gefriergetrocknet;;Früchte/Früchte getrocknet;pro 100g essbarer Anteil;338
Heidelbeere, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;52
Heilbutt, roh;;Fisch/Meeresfische;pro 100g essbarer Anteil;118
Himbeere, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;44
Hinterschinken;;Fleisch- und Wurstwaren/Kochwurstware;pro 100g essbarer Anteil;104
Hirsch (Durchschnitt), roh;;Fleisch und Innereien/Wild;pro 100g essbarer Anteil;112
Hirsch, Entrecôte, roh;;Fleisch und Innereien/Wild;pro 100g essbarer Anteil;111
Hirse, Korn geschält;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte;pro 100g essbarer Anteil;360
Hirseflocken, Vollkorn;;Brote, Flocken und Frühstückscerealien/Flocken, Kleie und Keime;pro 100g essbarer Anteil;360
Hirsotto, gekocht;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte;pro 100g essbarer Anteil;144
Hollandaisesauce;;Verschiedenes/Saucen;pro 100g essbarer Anteil;212
Holunderbeere, schwarz, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;63
Honig (Blütenhonig);;Süssigkeiten/Konfitüren und süsse Brotaufstriche;pro 100g essbarer Anteil;306
Hot Dog in Weissbrot mit Ketchup und Senf;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;216
Hühnerei, ganz, festgekocht;;Eier;pro 100g essbarer Anteil;156
Hühnerei, ganz, roh;;Eier;pro 100g essbarer Anteil;140
Hühnereigelb, roh (Eidotter);;Eier;pro 100g essbarer Anteil;349
Hühnereiweiss, roh (Eiklar);;Eier;pro 100g essbarer Anteil;45
Hülsenfrüchte (Durchschnitt), gekocht (ohne Zugabe von Fett und Salz);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;pro 100g essbarer Anteil;127
Hülsenfrüchte (Durchschnitt), getrocknet;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;pro 100g essbarer Anteil;336
Hummus;;Verschiedenes/Saucen;pro 100g essbarer Anteil;204
Hüttenkäse, nature;Cottage cheese;Milch und Milchprodukte/Frischkäse und Quark;pro 100g essbarer Anteil;100
Instant-Kartoffelstock, zubereitet (mit Wasser und Butter);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;pro 100g essbarer Anteil;80
Jägersauce;;Verschiedenes/Saucen;pro 100g essbarer Anteil;58
Joghurt-Salatsauce (ohne Öl);;Fette und Öle/Salatsaucen;pro 100 ml;64
Joghurt Bifidus, nature;;Milch und Milchprodukte/Joghurt und Sauermilch;pro 100g essbarer Anteil;66
Joghurt gezuckert (Durchschnitt);;Milch und Milchprodukte/Joghurt und Sauermilch;pro 100g essbarer Anteil;105
Joghurt mit Aroma, mager, mit Süssstoffen;;Milch und Milchprodukte/Joghurt und Sauermilch;pro 100g essbarer Anteil;47
Joghurt mit Früchten, mager, mit Süssstoffen;;Milch und Milchprodukte/Joghurt und Sauermilch;pro 100g essbarer Anteil;49
Joghurt, Erdbeer;;Milch und Milchprodukte/Joghurt und Sauermilch;pro 100g essbarer Anteil;101
Joghurt, Haselnuss;;Milch und Milchprodukte/Joghurt und Sauermilch;pro 100g essbarer Anteil;119
Joghurt, Mokka;;Milch und Milchprodukte/Joghurt und Sauermilch;pro 100g essbarer Anteil;99
Joghurt, Mokka, Bio;;Milch und Milchprodukte/Joghurt und Sauermilch;pro 100g essbarer Anteil;95
Joghurt, nature;;Milch und Milchprodukte/Joghurt und Sauermilch;pro 100g essbarer Anteil;66
Joghurt, nature, mager;;Milch und Milchprodukte/Joghurt und Sauermilch;pro 100g essbarer Anteil;42
Joghurt, Schokolade;;Milch und Milchprodukte/Joghurt und Sauermilch;pro 100g essbarer Anteil;120
Joghurt, Vanille;;Milch und Milchprodukte/Joghurt und Sauermilch;pro 100g essbarer Anteil;98
Joghurtalternative aus Soja, mit Früchten oder Aroma;;Milch und Milchprodukte/Milchersatzprodukte;pro 100g essbarer Anteil;82
Joghurtalternative aus Soja, mit Früchten oder Aroma, mit Calcium angereichert;;Milch und Milchprodukte/Milchersatzprodukte;pro 100g essbarer Anteil;82
Joghurtalternative aus Soja, nature;;Milch und Milchprodukte/Milchersatzprodukte;pro 100g essbarer Anteil;45
Joghurtalternative aus Soja, nature, mit Calcium angereichert;;Milch und Milchprodukte/Milchersatzprodukte;pro 100g essbarer Anteil;45
Johannisbeere, rot, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;50
Johannisbeere, schwarz, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;71
Johannisbeerkuchen, hausgemacht (mit süssem Mürbeteig);;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;216
Johannisbeerkuchen, hausgemacht, gebacken (mit Kuchenteig);;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;145
Johannisbeerkuchen, hausgmacht, gebacken (mit Blätterteig);Johannisbeerwähe;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;143
Kaffee löslich, Pulver;Instant-Kaffee;Alkoholfreie Getränke/Kaffee;pro 100g essbarer Anteil;253
Kaffee, schwarz, ungezuckert;;Alkoholfreie Getränke/Kaffee;pro 100 ml;2
Kaffeerahm;;"Fette und Öle/Rahm;Milch und Milchprodukte/Rahm und Butter";pro 100g essbarer Anteil;161
Kakaobutter;;Fette und Öle/Fette;pro 100g essbarer Anteil;900
Kakaopulver;;"Süssigkeiten/Schokolade und Kakaoerzeugnisse;Alkoholfreie Getränke/Kakaogetränke";pro 100g essbarer Anteil;419
Kaki, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;70
Kalb, Brust, gekocht (ohne Zugabe von Fett und Salz);;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;234
Kalb, Brust, roh;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;204
Kalb, Eckstück, roh;Plätzli;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;103
Kalb, Filet, roh;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;119
Kalb, Gehacktes, roh;Hackfleisch;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;104
Kalb, Geschnetzeltes, gebraten (ohne Zugabe von Fett und Salz);;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;123
Kalb, Geschnetzeltes, roh;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;98
Kalb, Haxe, geschmort (ohne Zugabe von Fett und Salz);;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;165
Kalb, Haxe, roh;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;122
Kalb, Kotelett, roh;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;161
Kalb, Leber, roh;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;135
Kalb, Milken, roh;Bries;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;99
Kalb, Niere, roh;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;112
Kalb, Nierstück, Steak, gebraten (ohne Zugabe von Fett und Salz);;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;144
Kalb, Nierstück, Steak, roh;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;113
Kalb, Runder Mocken, roh;Saftplätzli;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;104
Kalb, Schulter, Braten, im Ofen gebraten (ohne Zugabe von Fett und Salz);;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;163
Kalb, Schulter, Braten, roh;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;124
Kalb, Voressen, roh;Ragout;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;102
Kalb, Zunge, roh;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;181
Kalbfleisch (Durchschnitt exkl. Innereien, Kotelett), roh;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;128
Kalbsbratwurst;;Fleisch- und Wurstwaren/Brühwurstware;pro 100g essbarer Anteil;228
Kalbspiccata, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;217
Kalbsplätzli, gebraten (ohne Zugabe von Fett und Salz);;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;128
Kalbsplätzli, gebraten in HOLL-Rapsöl;;Fleisch und Innereien/Kalb;pro 100g essbarer Anteil;185
Kalbsragout mit Sauce, zubereitet;Voressen;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;85
Kalmar, roh;"Seppia;Polpo;Calamare;Tintenfisch";Fisch/Meeresfrüchte, Krusten- und Schalentiere;pro 100g essbarer Anteil;83
Kaninchen (Durchschnitt), gekocht (ohne Zusatz von Fett und Salz);;Fleisch und Innereien/Sonstige Tierarten;pro 100g essbarer Anteil;205
Kaninchen (Durchschnitt), roh;;Fleisch und Innereien/Sonstige Tierarten;pro 100g essbarer Anteil;150
Kaninchen, Filet, roh;;Fleisch und Innereien/Sonstige Tierarten;pro 100g essbarer Anteil;111
Karotte, gedämpft (ohne Zugabe von Salz);Rüebli;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;44
Karotte, roh;"Rüebli;Möhre";Gemüse/Gemüse frisch;pro 100g essbarer Anteil;42
Karottensaft;Rüeblisaft;"Alkoholfreie Getränke/Frucht- und Gemüsesäfte;Gemüse/Gemüsesäfte";pro 100 ml;33
Kartoffel, geschält, gedämpft (ohne Zugabe von Salz);Gschwellti;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;pro 100g essbarer Anteil;75
Kartoffel, geschält, roh;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;pro 100g essbarer Anteil;76
Kartoffelflocken, mit Milchpulver und Salz (Instant-Kartoffelstock);Instant-Kartoffelstock;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;pro 100g essbarer Anteil;365
Kartoffelgratin dauphinois, zubereitet;;Gerichte/Kuchen und Gratins;pro 100g essbarer Anteil;128
Kartoffelgratin Savoyer Art, zubereitet;;Gerichte/Kuchen und Gratins;pro 100g essbarer Anteil;75
Kartoffelsalat mit Essig-Öl-Sauce;;Gerichte/Salate;pro 100g essbarer Anteil;96
Kartoffelsalat mit Mayonnaise-Joghurt-Sauce;;Gerichte/Salate;pro 100g essbarer Anteil;80
Kartoffelstärke;;"Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;Verschiedenes/Gelier- und Bindemittel";pro 100g essbarer Anteil;336
Kartoffelstock, zubereitet (mit Rahm und Butter);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;pro 100g essbarer Anteil;139
Kartoffelstock, zubereitet (mit teilentrahmter Milch und Butter);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;pro 100g essbarer Anteil;88
Kartoffelstock, zubereitet (mit Vollmilch und Butter);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Kartoffeln;pro 100g essbarer Anteil;90
Käse in Salzlake (Kuhmilch);;"Milch und Milchprodukte/Frischkäse und Quark;Milch und Milchprodukte/Weichkäse";pro 100g essbarer Anteil;256
Käse in Salzlake (Schaf- und Ziegenmilch);Feta;"Milch und Milchprodukte/Frischkäse und Quark;Milch und Milchprodukte/Weichkäse";pro 100g essbarer Anteil;242
Käsekuchen, gebacken (mit Blätterteig);Käsewähe;Gerichte/Kuchen und Gratins;pro 100g essbarer Anteil;300
Käsekuchen, gebacken (mit Kuchenteig);Käsewähe;Gerichte/Kuchen und Gratins;pro 100g essbarer Anteil;303
Käsereibutter;;"Fette und Öle/Fette;Milch und Milchprodukte/Rahm und Butter";pro 100g essbarer Anteil;747
Käseschnitte, zubereitet;;Gerichte/Sonstige salzige/rezente Gerichte;pro 100g essbarer Anteil;272
Kebab im Fladenbrot;;Gerichte/Sandwiches;pro 100g essbarer Anteil;123
Kefe, gedämpft (ohne Zugabe von Salz);"Kiefelerbse;Zuckerschote";Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;73
Kefe, roh;"Kiefelerbse;Zuckerschote";Gemüse/Gemüse frisch;pro 100g essbarer Anteil;68
Ketchup;;Verschiedenes/Saucen;pro 100g essbarer Anteil;117
Kichererbse, gekocht (ohne Zugabe von Fett und Salz);;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;pro 100g essbarer Anteil;127
Kichererbse, getrocknet;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte;pro 100g essbarer Anteil;327
Kirsch;"Kirschbranntwein;Kirschwasser;Kirschschnaps;Kirschenbrand";Alkoholhaltige Getränke/Spirituosen;pro 100 ml;233
Kirsche, gedünstet, abgetropft (ohne Zugabe von Zucker);;Früchte/Früchte gekocht (inkl. Konserven);pro 100g essbarer Anteil;58
Kirsche, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;62
Kirschenkuchen, hausgemacht, gebacken (mit Blätterteig);Kirschenwähe;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;151
Kirschenkuchen, hausgemacht, gebacken (mit Kuchenteig);Kirschenwähe;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins";pro 100g essbarer Anteil;153
Kiwi, roh;;Früchte/Früchte frisch;pro 100g essbarer Anteil;58
Knäckebrot, Vollkorn;;Brote, Flocken und Frühstückscerealien/Knäckebrote, Zwieback, Crackers und Waffeln;pro 100g essbarer Anteil;332
Knäckebrot, Vollkorn mit Leinsamen;;Brote, Flocken und Frühstückscerealien/Knäckebrote, Zwieback, Crackers und Waffeln;pro 100g essbarer Anteil;352
Knäckebrot, Vollkorn mit Sesam;;Brote, Flocken und Frühstückscerealien/Knäckebrote, Zwieback, Crackers und Waffeln;pro 100g essbarer Anteil;360
Knoblauch, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;137
Knollensellerie, gedämpft (ohne Zugabe von Salz);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;32
Knollensellerie, roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;32
Knöpflimehl;Spätzlimehl;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke;pro 100g essbarer Anteil;351
Knuspermüeslimischung,  mit Früchten, gezuckert;;Brote, Flocken und Frühstückscerealien/Müeslimischungen und Frühstückscerealien;pro 100g essbarer Anteil;424
Knuspermüeslimischung, angereichert mit Vitaminen und Mineralien;;Brote, Flocken und Frühstückscerealien/Müeslimischungen und Frühstückscerealien;pro 100g essbarer Anteil;420
Knuspermüeslimischung, gezuckert (Durchschnitt) ;;Brote, Flocken und Frühstückscerealien/Müeslimischungen und Frühstückscerealien;pro 100g essbarer Anteil;430
Knuspermüeslimischung, mit Nüssen and Samen, gezuckert;;Brote, Flocken und Frühstückscerealien/Müeslimischungen und Frühstückscerealien;pro 100g essbarer Anteil;431
Knuspermüeslimischung, mit Schokolade;;Brote, Flocken und Frühstückscerealien/Müeslimischungen und Frühstückscerealien;pro 100g essbarer Anteil;442
Kochbutter;;"Fette und Öle/Fette;Milch und Milchprodukte/Rahm und Butter";pro 100g essbarer Anteil;745
Kochpökelware (Durchschnitt);;Fleisch- und Wurstwaren/Kochwurstware;pro 100g essbarer Anteil;223
Kochsalz mit Jod;;Verschiedenes/Salz, Gewürze und Aromen;pro 100g essbarer Anteil;0
Kochsalz mit Jod und Fluor;Speisesalz;Verschiedenes/Salz, Gewürze und Aromen;pro 100g essbarer Anteil;0
Kochsalz ohne Jod und Fluor;Speisesalz;Verschiedenes/Salz, Gewürze und Aromen;pro 100g essbarer Anteil;0
Kochspeck;;Fleisch- und Wurstwaren/Rohwurstware;pro 100g essbarer Anteil;322
Kochwürste (Durchschnitt);;Fleisch- und Wurstwaren/Kochwurstware;pro 100g essbarer Anteil;278
Kohlgemüse (Durchschnitt), gekocht (ohne Zugabe von Salz und Fett);;Gemüse/Gemüse gekocht (inkl. Konserven);pro 100g essbarer Anteil;29
Kohlgemüse (Durchschnitt), roh;;Gemüse/Gemüse frisch;pro 100g essbarer Anteil;30
