Schweizer Nährwertdatenbank – Markenprodukte V6.5 (27.06.2023);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID;ID V 4.0;ID SwissFIR;Name;Synonyme;Kategorie;Dichte;Bezugseinheit;Energie, Kilojoule (kJ);Herleitung des Wertes;Quelle;Energie, Kalorien (kcal);Herleitung des Wertes;Quelle;Fett, total (g);Herleitung des Wertes;Quelle;Fettsäuren, gesättigt (g);Herleitung des Wertes;Quelle;Fettsäuren, einfach ungesättigt (g);Herleitung des Wertes;Quelle;Fettsäuren, mehrfach ungesättigt (g);Herleitung des Wertes;Quelle;Cholesterin (mg);Herleitung des Wertes;Quelle;Kohlenhydrate, verfügbar (g);Herleitung des Wertes;Quelle;Zucker (g);Herleitung des Wertes;Quelle;Stärke (g);Herleitung des Wertes;Quelle;Nahrungsfasern (g);Herleitung des Wertes;Quelle;Protein (g);Herleitung des Wertes;Quelle;Salz (NaCl) (g);Herleitung des Wertes;Quelle;Alkohol (g);Herleitung des Wertes;Quelle;Wasser (g);Herleitung des Wertes;Quelle;Vitamin A-Aktivität, RE (µg-RE);Herleitung des Wertes;Quelle;Vitamin A-Aktivität, RAE (µg-RE);Herleitung des Wertes;Quelle;Retinol (µg);Herleitung des Wertes;Quelle;Betacarotin-Aktivität (µg-BCE);Herleitung des Wertes;Quelle;Betacarotin (µg);Herleitung des Wertes;Quelle;Vitamin B1 (Thiamin) (mg);Herleitung des Wertes;Quelle;Vitamin B2 (Riboflavin) (mg);Herleitung des Wertes;Quelle;Vitamin B6 (Pyridoxin) (mg);Herleitung des Wertes;Quelle;Vitamin B12 (Cobalamin) (µg);Herleitung des Wertes;Quelle;Niacin (mg);Herleitung des Wertes;Quelle;Folat (µg);Herleitung des Wertes;Quelle;Pantothensäure (mg);Herleitung des Wertes;Quelle;Vitamin C (Ascorbinsäure) (mg);Herleitung des Wertes;Quelle;Vitamin D (Calciferol) (µg);Herleitung des Wertes;Quelle;Vitamin E (α-Tocopherol) (mg);Herleitung des Wertes;Quelle;Kalium (K) (mg);Herleitung des Wertes;Quelle;Natrium (Na) (mg);Herleitung des Wertes;Quelle;Chlorid (Cl) (mg);Herleitung des Wertes;Quelle;Calcium (Ca) (mg);Herleitung des Wertes;Quelle;Magnesium (Mg) (mg);Herleitung des Wertes;Quelle;Phosphor (P) (mg);Herleitung des Wertes;Quelle;Eisen (Fe) (mg);Herleitung des Wertes;Quelle;Jod (I) (µg);Herleitung des Wertes;Quelle;Zink (Zn)  (mg);Herleitung des Wertes;Quelle;Selen (Se) (µg);Herleitung des Wertes;Quelle;Geänderter Eintrag
1096;3929;;Mineralwasser Appenzell (Gontenbad);;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;k.A.;;;0;Schätzung;1003;100;Schätzung;1662;k.A.;;;k.A.;;;0;Schätzung;1662;0;Automatisierte Berechnung;;0;Schätzung;1662;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;0.1;-;2289;0.4;-;2289;0.7;-;2289;11;-;2289;1.7;-;2289;k.A.;;;k.A.;;;<1;-;1680;k.A.;;;k.A.;;;Nein
73;3968;821054;Mineralwasser Aproz (Aproz);;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;-;1662;0;-;1662;0;-;1662;0;-;1662;k.A.;;;0;-;1662;0;-;1662;0;-;1662;0;-;1662;0;-;1662;k.A.;;;0;-;1662;99.8;-;1662;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;-;1662;0;Automatisierte Berechnung;;k.A.;;;0;-;1662;0;-;1662;0;-;1662;0;-;1662;0;-;1662;0;-;1662;0;-;1662;0;-;1662;0;-;1662;0;-;1662;0.3;-;1680;0.6;-;1680;2;-;1680;36;-;1680;7;-;1680;k.A.;;;k.A.;;;0.5;-;1680;k.A.;;;k.A.;;;Nein
104;4024;822055;Mineralwasser Aquella (Bouillets);;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;-;1662;0;-;1662;0;-;1662;0;-;1662;k.A.;;;0;-;1662;0;-;1662;0;-;1662;0;-;1662;0;-;1662;k.A.;;;0;-;1662;99.9;-;1662;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;-;1662;0;Automatisierte Berechnung;;k.A.;;;0;-;1662;0;-;1662;0;-;1662;0;-;1662;0;-;1662;0;-;1662;0;-;1662;0;-;1662;0;-;1662;0;-;1662;0.3;-;1680;0.4;-;1680;1.6;-;1680;30;-;1680;7.5;-;1680;k.A.;;;k.A.;;;0.5;-;1680;k.A.;;;k.A.;;;Nein
541;4001;1001061;Mineralwasser Arkina;;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;-;22;0;-;22;0;-;22;0;-;22;0;Schätzung;51;0;-;22;0;-;22;0;Schätzung;51;0;-;22;0;-;22;k.A.;;;0;Schätzung;51;100;Schätzung;1662;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;51;0;Automatisierte Berechnung;;0;Schätzung;51;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0.1;-;2289;0.9;-;3206;0.2;-;3206;8.2;-;3206;2.4;-;2289;Sp.;-;22;k.A.;;;k.A.;;;k.A.;;;k.A.;;;Ja
1178;4663;;Mineralwasser Badoit (St Galmier);;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;k.A.;;;0;-;1003;99.9;-;1662;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;-;1003;0;Automatisierte Berechnung;;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;0;-;1003;1.1;-;1680;18;-;1680;5.4;-;1680;15;-;1680;8;-;1680;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;Nein
501;4000;1000991;Mineralwasser Contrex;;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;k.A.;;;0;Schätzung;1662;99.8;Schätzung;3201;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;1662;0;Automatisierte Berechnung;;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0;Schätzung;1662;0.3;-;3206;0.9;-;3206;1.1;-;3206;47;-;3206;7.5;-;3206;k.A.;;;k.A.;;;k.A.;;;k.A.;;;k.A.;;;Ja
1172;4622;;Mineralwasser Cristallo (Lostorf);;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;k.A.;;;0;Schätzung;1003;99.9;Schätzung;1662;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;1003;0;Automatisierte Berechnung;;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0.3;-;1013;0.4;-;1013;0.3;-;1013;22;-;1013;6.5;-;1013;k.A.;;;k.A.;;;<1;-;3206;k.A.;;;k.A.;;;Ja
1044;4237;;Mineralwasser Elmer;;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;k.A.;;;0;Schätzung;1003;100;Schätzung;1662;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;1003;0;Automatisierte Berechnung;;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0;Schätzung;1003;0.1;-;1680;0.3;-;2289;0;-;1680;9.9;-;2289;0.8;-;2289;k.A.;;;k.A.;;;<1;-;1680;k.A.;;;k.A.;;;Nein
48;4659;821020;Mineralwasser Eptinger;;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;k.A.;;;0;Schätzung;51;99.8;Schätzung;1662;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;51;0;Automatisierte Berechnung;;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0;Schätzung;51;0.2;-;2289;0.3;-;2289;0.4;-;2289;48;-;3206;11;-;2289;k.A.;;;k.A.;;;<1;-;1680;k.A.;;;k.A.;;;Ja
521;4635;1001029;Mineralwasser Evian (Cachat);;Alkoholfreie Getränke/Mineralwasser;1;pro 100 ml;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;-;22;0;-;22;0;-;22;0;-;22;0;Schätzung;51;0;-;22;0;-;22;0;Schätzung;51;0;-;22;0;-;22;k.A.;;;0;Schätzung;51;100;Schätzung;3201;0;Automatisierte Berechnung;;0;Automatisierte Berechnung;;0;Schätzung;51;0;Automatisierte Berechnung;;0;Schätzung;51;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0;-;22;0.2;-;3206;0.8;-;3206;1;-;3206;8;-;3206;2.8;-;3206;k.A.;;;k.A.;;;<0.5;-;3206;k.A.;;;k.A.;;;Ja
